DGUID,DAUID,PRUID,ERUID,leaf_tag,assignment
2021S051210010165,10010165,10,1010,avalon,nearest-seed-within-er
2021S051210010166,10010166,10,1010,avalon,nearest-seed-within-er
2021S051210010167,10010167,10,1010,avalon,nearest-seed-within-er
2021S051210010168,10010168,10,1010,avalon,nearest-seed-within-er
2021S051210010169,10010169,10,1010,avalon,nearest-seed-within-er
2021S051210010170,10010170,10,1010,avalon,nearest-seed-within-er
2021S051210010171,10010171,10,1010,avalon,nearest-seed-within-er
2021S051210010172,10010172,10,1010,avalon,nearest-seed-within-er
2021S051210010173,10010173,10,1010,avalon,nearest-seed-within-er
2021S051210010174,10010174,10,1010,avalon,nearest-seed-within-er
2021S051210010175,10010175,10,1010,avalon,nearest-seed-within-er
2021S051210010176,10010176,10,1010,avalon,nearest-seed-within-er
2021S051210010180,10010180,10,1010,avalon,nearest-seed-within-er
2021S051210010181,10010181,10,1010,avalon,nearest-seed-within-er
2021S051210010182,10010182,10,1010,avalon,nearest-seed-within-er
2021S051210010187,10010187,10,1010,avalon,nearest-seed-within-er
2021S051210010191,10010191,10,1010,avalon,nearest-seed-within-er
2021S051210010192,10010192,10,1010,avalon,nearest-seed-within-er
2021S051210010193,10010193,10,1010,avalon,nearest-seed-within-er
2021S051210010194,10010194,10,1010,avalon,nearest-seed-within-er
2021S051210010195,10010195,10,1010,avalon,nearest-seed-within-er
2021S051210010196,10010196,10,1010,avalon,nearest-seed-within-er
2021S051210010198,10010198,10,1010,avalon,nearest-seed-within-er
2021S051210010199,10010199,10,1010,avalon,nearest-seed-within-er
2021S051210010200,10010200,10,1010,avalon,nearest-seed-within-er
2021S051210010201,10010201,10,1010,avalon,nearest-seed-within-er
2021S051210010202,10010202,10,1010,avalon,nearest-seed-within-er
2021S051210010203,10010203,10,1010,avalon,nearest-seed-within-er
2021S051210010204,10010204,10,1010,avalon,nearest-seed-within-er
2021S051210010206,10010206,10,1010,avalon,nearest-seed-within-er
2021S051210010207,10010207,10,1010,avalon,nearest-seed-within-er
2021S051210010208,10010208,10,1010,avalon,nearest-seed-within-er
2021S051210010209,10010209,10,1010,avalon,nearest-seed-within-er
2021S051210010210,10010210,10,1010,avalon,nearest-seed-within-er
2021S051210010211,10010211,10,1010,avalon,nearest-seed-within-er
2021S051210010212,10010212,10,1010,avalon,nearest-seed-within-er
2021S051210010213,10010213,10,1010,avalon,nearest-seed-within-er
2021S051210010214,10010214,10,1010,avalon,nearest-seed-within-er
2021S051210010215,10010215,10,1010,avalon,nearest-seed-within-er
2021S051210010216,10010216,10,1010,avalon,nearest-seed-within-er
2021S051210010217,10010217,10,1010,avalon,nearest-seed-within-er
2021S051210010218,10010218,10,1010,avalon,nearest-seed-within-er
2021S051210010219,10010219,10,1010,avalon,nearest-seed-within-er
2021S051210010220,10010220,10,1010,avalon,nearest-seed-within-er
2021S051210010221,10010221,10,1010,avalon,nearest-seed-within-er
2021S051210010222,10010222,10,1010,avalon,nearest-seed-within-er
2021S051210010223,10010223,10,1010,avalon,nearest-seed-within-er
2021S051210010224,10010224,10,1010,avalon,nearest-seed-within-er
2021S051210010225,10010225,10,1010,avalon,nearest-seed-within-er
2021S051210010226,10010226,10,1010,avalon,nearest-seed-within-er
2021S051210010227,10010227,10,1010,avalon,nearest-seed-within-er
2021S051210010228,10010228,10,1010,avalon,nearest-seed-within-er
2021S051210010229,10010229,10,1010,avalon,nearest-seed-within-er
2021S051210010230,10010230,10,1010,avalon,nearest-seed-within-er
2021S051210010231,10010231,10,1010,avalon,nearest-seed-within-er
2021S051210010232,10010232,10,1010,avalon,nearest-seed-within-er
2021S051210010233,10010233,10,1010,avalon,nearest-seed-within-er
2021S051210010234,10010234,10,1010,avalon,nearest-seed-within-er
2021S051210010235,10010235,10,1010,avalon,nearest-seed-within-er
2021S051210010236,10010236,10,1010,avalon,nearest-seed-within-er
2021S051210010237,10010237,10,1010,avalon,nearest-seed-within-er
2021S051210010238,10010238,10,1010,avalon,nearest-seed-within-er
